StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,DSCI
AK,100.0,0.0,0.0,0.0,0.0,0.0,2022-12-27,2023-01-02,0
AK,100.0,0.0,0.0,0.0,0.0,0.0,2022-12-20,2022-12-26,0
AK,100.0,0.0,0.0,0.0,0.0,0.0,2022-12-13,2022-12-19,0
AK,100.0,0.0,0.0,0.0,0.0,0.0,2022-12-06,2022-12-12,0
AK,100.0,0.0,0.0,0.0,0.0,0.0,2022-11-29,2022-12-05,0
AK,100.0,0.0,0.0,0.0,0.0,0.0,2022-11-22,2022-11-28,0
AK,100.0,0.0,0.0,0.0,0.0,0.0,2022-11-15,2022-11-21,0
AK,100.0,0.0,0.0,0.0,0.0,0.0,2022-11-08,2022-11-14,0
AK,100.0,0.0,0.0,0.0,0.0,0.0,2022-11-01,2022-11-07,0
AK,100.0,0.0,0.0,0.0,0.0,0.0,2022-10-25,2022-10-31,0
AK,100.0,0.0,0.0,0.0,0.0,0.0,2022-10-18,2022-10-24,0
AK,100.0,0.0,0.0,0.0,0.0,0.0,2022-10-11,2022-10-17,0
AK,100.0,0.0,0.0,0.0,0.0,0.0,2022-10-04,2022-10-10,0
AK,99.25,0.75,0.0,0.0,0.0,0.0,2022-09-27,2022-10-03,1
AK,99.25,0.75,0.0,0.0,0.0,0.0,2022-09-20,2022-09-26,1
AK,99.37,0.63,0.0,0.0,0.0,0.0,2022-09-13,2022-09-19,1
AK,99.37,0.63,0.0,0.0,0.0,0.0,2022-09-06,2022-09-12,1
AK,97.98,2.02,0.0,0.0,0.0,0.0,2022-08-30,2022-09-05,2
AK,97.98,2.02,0.0,0.0,0.0,0.0,2022-08-23,2022-08-29,2
AK,97.25,2.75,0.0,0.0,0.0,0.0,2022-08-16,2022-08-22,3
AK,97.25,2.75,0.0,0.0,0.0,0.0,2022-08-09,2022-08-15,3
AK,94.07,5.21,0.72,0.0,0.0,0.0,2022-08-02,2022-08-08,7
AK,79.31,20.05,0.64,0.0,0.0,0.0,2022-07-26,2022-08-01,21
AK,63.7,29.36,6.94,0.0,0.0,0.0,2022-07-19,2022-07-25,43
AK,56.37,27.68,14.68,1.27,0.0,0.0,2022-07-12,2022-07-18,61
AK,54.78,27.32,16.64,1.27,0.0,0.0,2022-07-05,2022-07-11,64
AK,53.84,30.56,14.93,0.67,0.0,0.0,2022-06-28,2022-07-04,62
AK,54.17,34.68,11.05,0.1,0.0,0.0,2022-06-21,2022-06-27,57
AK,55.53,32.68,11.69,0.1,0.0,0.0,2022-06-14,2022-06-20,56
AK,62.85,35.61,1.54,0.0,0.0,0.0,2022-06-07,2022-06-13,39
AK,83.98,15.09,0.93,0.0,0.0,0.0,2022-05-31,2022-06-06,17
AK,91.24,8.76,0.0,0.0,0.0,0.0,2022-05-24,2022-05-30,9
