Year,Acres_Burned,Number_of_Fires,Acres_Burned_per_Fire,Month
2000,40757,2796,14.58,January
2001,44334,1231,36.01,January
2002,10079,1383,7.29,January
2003,18818,1964,9.58,January
2004,15386,1740,8.84,January
2005,9735,1674,5.82,January
2006,330447,3507,94.22,January
2007,4597,387,11.88,January
2008,40804,1380,29.57,January
2009,57150,2481,23.04,January
2010,19052,1081,17.62,January
2011,17352,1526,11.37,January
2012,62909,1758,35.78,January
2013,8573,964,8.89,January
2014,38078,2584,14.74,January
2015,22592,1500,15.06,January
2016,3131,439,7.13,January
2017,54961,2459,22.35,January
2018,71189,3257,21.86,January
2019,13095,1139,11.5,January
2020,16791,1136,14.78,January
2021,27358,1600,17.1,January
2022,25691,1302,19.73,January
2000,168210,5671,29.66,February
2001,118872,6561,18.12,February
2002,55487,4649,11.94,February
2003,30877,2030,15.21,February
2004,39787,2847,13.98,February
2005,18414,2518,7.31,February
2006,80564,2429,33.17,February
2007,30754,3791,8.11,February
2008,214183,4449,48.14,February
2009,120447,5495,21.92,February
2010,15491,1221,12.69,February
2011,187021,8226,22.74,February
2012,29737,3239,9.18,February
2013,12432,1340,9.28,February
2014,31686,2983,10.62,February
2015,68989,4251,16.23,February
2016,123490,2455,50.3,February
2017,167766,5353,31.34,February
2018,67289,3200,21.03,February
2019,27604,1018,27.12,February
2020,26428,1375,19.22,February
2021,32706,1386,23.6,February
2022,124083,5785,21.45,February
2000,340899,10312,33.06,March
2001,103341,6620,15.61,March
2002,135186,8686,15.56,March
2003,44285,3401,13.02,March
2004,95457,9071,10.52,March
2005,102648,5061,20.28,March
2006,1438355,15006,95.85,March
2007,226060,12086,18.7,March
2008,261256,5259,49.68,March
2009,363647,13755,26.44,March
2010,106074,6233,17.02,March
2011,385043,7316,52.63,March
2012,89771,5354,16.77,March
2013,72120,4615,15.63,March
2014,97922,6024,16.26,March
2015,59677,3118,19.14,March
2016,649511,6324,102.71,March
2017,957427,6717,142.54,March
2018,392010,6297,62.25,March
2019,130508,4934,26.45,March
2020,68802,3374,20.39,March
2021,264495,7532,35.12,March
2022,368065,7694,47.84,March
2000,182713,9236,19.78,April
2001,202015,995,203.03,April
2002,177888,7365,24.15,April
2003,225841,7066,31.96,April
2004,219470,10735,20.44,April
2005,136097,9010,15.11,April
2006,391421,13747,28.47,April
