U.S. Wildfires April
Date,Acres Burned,Number of Fires,Acres Burned per Fire
2000,182713,9236,19.78
2001,202015,995,203.03
2002,177888,7365,24.15
2003,225841,7066,31.96
2004,219470,10735,20.44
2005,136097,9010,15.11
2006,391421,13747,28.47
2007,214020,7808,27.41
2008,758290,8242,92
2009,518535,9206,56.33
2010,182831,11686,15.65
2011,1791469,6164,290.63
2012,191062,7506,25.45
2013,48419,4754,10.18
2014,152713,7783,19.62
2015,167691,6707,25
2016,687131,6267,109.64
2017,817985,5953,137.41
2018,446198,4938,90.36
2019,40716,3534,11.52
2020,108802,5999,18.14
2021,132579,7075,18.74
2022,602491,7543,79.87
2023,268817,5196,51.74
