U.S. Wildfires February
Date,Acres Burned,Number of Fires,Acres Burned per Fire
2000,168210,5671,29.66
2001,118872,6561,18.12
2002,55487,4649,11.94
2003,30877,2030,15.21
2004,39787,2847,13.98
2005,18414,2518,7.31
2006,80564,2429,33.17
2007,30754,3791,8.11
2008,214183,4449,48.14
2009,120447,5495,21.92
2010,15491,1221,12.69
2011,187021,8226,22.74
2012,29737,3239,9.18
2013,12432,1340,9.28
2014,31686,2983,10.62
2015,68989,4251,16.23
2016,123490,2455,50.3
2017,167766,5353,31.34
2018,67289,3200,21.03
2019,27604,1018,27.12
2020,26428,1375,19.22
2021,32706,1386,23.6
2022,124083,5785,21.45
2023,50765,2590,19.6
