U.S. Wildfires January
Date,Acres Burned,Number of Fires,Acres Burned per Fire
2000,40757,2796,14.58
2001,44334,1231,36.01
2002,10079,1383,7.29
2003,18818,1964,9.58
2004,15386,1740,8.84
2005,9735,1674,5.82
2006,330447,3507,94.22
2007,4597,387,11.88
2008,40804,1380,29.57
2009,57150,2481,23.04
2010,19052,1081,17.62
2011,17352,1526,11.37
2012,62909,1758,35.78
2013,8573,964,8.89
2014,38078,2584,14.74
2015,22592,1500,15.06
2016,3131,439,7.13
2017,54961,2459,22.35
2018,71189,3257,21.86
2019,13095,1139,11.5
2020,16791,1136,14.78
2021,27358,1600,17.1
2022,25691,1302,19.73
2023,12882,1688,7.63
