U.S. Wildfires June
Date,Acres Burned,Number of Fires,Acres Burned per Fire
2000,606869,9135,66.43
2001,367544,6961,52.8
2002,1702508,13942,122.11
2003,361081,5744,62.86
2004,1142287,6554,174.29
2005,1331249,4684,284.21
2006,1196351,15403,77.67
2007,502835,9654,52.09
2008,672117,9536,70.48
2009,493268,6614,74.58
2010,812459,4027,201.75
2011,1345060,6567,204.82
2012,1363293,5415,251.76
2013,1252719,4046,309.62
2014,172860,4463,38.73
2015,1868614,6430,290.61
2016,526926,5230,100.75
2017,600373,5336,112.51
2018,812501,5112,158.94
2019,1331968,5657,235.45
2020,1035963,5939,174.43
2021,792074,5791,136.78
2022,2002408,5880,340.55
2023,163766,5697,28.75
