U.S. Wildfires March
Date,Acres Burned,Number of Fires,Acres Burned per Fire
2000,340899,10312,33.06
2001,103341,6620,15.61
2002,135186,8686,15.56
2003,44285,3401,13.02
2004,95457,9071,10.52
2005,102648,5061,20.28
2006,1438355,15006,95.85
2007,226060,12086,18.7
2008,261256,5259,49.68
2009,363647,13755,26.44
2010,106074,6233,17.02
2011,385043,7316,52.63
2012,89771,5354,16.77
2013,72120,4615,15.63
2014,97922,6024,16.26
2015,59677,3118,19.14
2016,649511,6324,102.71
2017,957427,6717,142.54
2018,392010,6297,62.25
2019,130508,4934,26.45
2020,68802,3374,20.39
2021,264495,7532,35.12
2022,368065,7694,47.84
2023,59823,3498,17.1
