U.S. Wildfires August
Date,Acres Burned,Number of Fires,Acres Burned per Fire
2000,2513602,11217,224.09
2001,1358486,7579,179.24
2002,2385947,9983,239
2003,919302,10145,90.62
2004,2022996,9575,211.28
2005,3078418,8276,371.97
2006,2434567,9292,262.01
2007,2285357,7741,295.23
2008,1185528,10213,116.08
2009,1980255,10026,197.51
2010,627443,6718,93.4
2011,864470,8238,104.94
2012,3636606,6948,523.4
2013,1481109,7088,208.96
2014,1039766,4280,242.94
2015,2475720,7555,327.69
2016,1116726,6507,171.62
2017,1648583,7493,220.02
2018,2129088,7861,270.84
2019,1001587,8765,114.27
2020,1928563,8197,235.28
2021,1904506,5239,363.52
2022,424307,8985,47.22
