U.S. Wildfires December
Date,Acres Burned,Number of Fires,Acres Burned per Fire
2000,83606,1156,72.32
2001,215773,4566,47.26
2002,66900,2115,31.63
2003,144890,5992,24.18
2004,33939,1241,27.35
2005,255789,6075,42.11
2006,365494,6593,55.44
2007,427160,6576,64.96
2008,161379,3190,50.59
2009,85985,1748,49.19
2010,117497,5958,19.72
2011,211666,7497,28.23
2012,65361,11760,5.56
2013,137927,2057,67.05
2014,133238,12086,11.02
2015,312668,6027,51.88
2016,163153,5339,30.56
2017,595161,9945,59.85
2018,98542,3400,28.98
2019,13353,2569,5.2
2020,735125,5324,138.08
2021,336984,4383,76.88
2022,190464,2128,89.5
