U.S. Wildfires July
Date,Acres Burned,Number of Fires,Acres Burned per Fire
2000,1854991,11293,164.26
2001,387894,8254,46.99
2002,1098578,7348,149.51
2003,970327,7129,136.11
2004,3439347,6628,518.91
2005,2612903,7464,350.07
2006,1412483,12408,113.84
2007,2785585,10268,271.29
2008,1303710,17352,75.13
2009,1353884,6257,216.38
2010,491856,7015,70.11
2011,1295630,9208,140.71
2012,2014395,9869,204.11
2013,866765,6149,140.96
2014,819242,8072,101.49
2015,3461087,8186,422.81
2016,1353260,8195,165.13
2017,2657380,9000,295.26
2018,2313597,8717,265.41
2019,1570697,5571,281.94
2020,630571,7576,83.23
2021,1510450,7024,215.04
2022,1790284,5300,337.79
2023,466033,6507,71.62
