U.S. Wildfires May
Date,Acres Burned,Number of Fires,Acres Burned per Fire
2000,294493,11850,24.85
2001,258014,18469,13.97
2002,736493,8734,84.32
2003,86116,7081,12.16
2004,161170,7675,21
2005,107511,6795,15.82
2006,315375,7156,44.07
2007,859241,12642,67.97
2008,226503,7790,29.08
2009,350997,10848,32.36
2010,350774,5563,63.05
2011,1069997,6625,161.51
2012,337182,4435,76.03
2013,106243,6331,16.78
2014,400822,2458,163.07
2015,78187,6072,12.88
2016,134720,4942,27.26
2017,234986,4182,56.19
2018,707411,6197,114.15
2019,120868,5338,22.64
2020,164889,6233,26.45
2021,223298,7242,30.83
2022,799903,5722,139.79
2023,117771,5043,23.35
