U.S. Wildfires September
Date,Acres Burned,Number of Fires,Acres Burned per Fire
2000,850027,8648,98.29
2001,380891,6397,59.54
2002,276819,5175,53.49
2003,510642,4620,110.53
2004,601572,6109,98.47
2005,763713,7693,99.27
2006,1474795,4804,306.99
2007,1317554,8567,153.79
2008,71959,3728,19.3
2009,378523,5535,68.39
2010,366260,13598,26.93
2011,765417,6552,116.82
2012,1077766,3734,288.64
2013,215263,3572,60.26
2014,306663,2558,119.88
2015,881230,6153,143.22
2016,285893,4762,60.04
2017,1325423,3033,437
2018,841953,3720,226.33
2019,195898,6627,29.56
2020,3544031,4332,818.11
2021,1019822,3202,318.5
2022,748032,5394,138.68
